Sample Time,xECG,ivECG,Error,Error Description,User State,User CM Marker,xECG_filtered,ivECG_filtered
1.364,9.986736,-67.546800,NA,NA,,NA,-0.114861,-0.075840
1.368,9.937488,-67.770384,NA,NA,,NA,-0.117995,-0.073770
1.372,9.892896,-68.160048,NA,NA,,NA,-0.120778,-0.072305
1.376,9.925344,-67.996896,NA,NA,,NA,-0.121750,-0.074768
1.38,9.959376,-67.593552,NA,NA,,NA,-0.119195,-0.074227
1.384,9.902304,-67.741488,NA,NA,,NA,-0.111758,-0.064336
1.388,9.869664,-68.136240,NA,NA,,NA,-0.099129,-0.045954
1.392,9.937056,-68.023104,NA,NA,,NA,-0.082316,-0.020774
1.396,9.977280,-67.611984,NA,NA,,NA,-0.063344,0.007211
1.4,9.936144,-67.656288,NA,NA,,NA,-0.044625,0.030108
1.404,9.918096,-68.054112,NA,NA,,NA,-0.028393,0.049345
1.408,9.977952,-68.009472,NA,NA,,NA,-0.016181,0.075451
1.412,10.052256,-67.583520,NA,NA,,NA,-0.008164,0.102297
1.416,10.049184,-67.512816,NA,NA,,NA,-0.002662,0.106773
1.42,10.006608,-67.900896,NA,NA,,NA,0.003502,0.089925
1.424,10.014096,-67.988832,NA,NA,,NA,0.013344,0.087665
1.428,10.035456,-67.640016,NA,NA,,NA,0.027338,0.119688
1.432,10.008912,-67.505328,NA,NA,,NA,0.042124,0.157660
1.436,9.985872,-67.826400,NA,NA,,NA,0.051747,0.166084
1.44,10.010448,-67.975536,NA,NA,,NA,0.049064,0.131072
1.444,10.075056,-67.647024,NA,NA,,NA,0.035190,0.104573
1.448,10.073136,-67.412592,NA,NA,,NA,0.010618,0.074301
1.452,9.991680,-67.716912,NA,NA,,NA,-0.019911,0.033371
1.456,9.954336,-68.019072,NA,NA,,NA,-0.051473,-0.012620
1.46,9.977328,-67.788240,NA,NA,,NA,-0.080672,-0.049391
1.464,9.951936,-67.498944,NA,NA,,NA,-0.105889,-0.073339
1.468,9.866784,-67.754688,NA,NA,,NA,-0.126712,-0.091509
1.472,9.834816,-68.114016,NA,NA,,NA,-0.143207,-0.107018
1.476,9.871104,-67.939152,NA,NA,,NA,-0.155492,-0.117054
1.48,9.870768,-67.589904,NA,NA,,NA,-0.163739,-0.122540
1.484,9.804816,-67.752000,NA,NA,,NA,-0.168270,-0.129314
1.488,9.752304,-68.149968,NA,NA,,NA,-0.169594,-0.140661
1.492,9.788496,-68.040288,NA,NA,,NA,-0.168843,-0.154127
1.496,9.826416,-67.645296,NA,NA,,NA,-0.168744,-0.162112
1.5,9.789792,-67.694640,NA,NA,,NA,-0.174137,-0.156041
1.504,9.723120,-68.118384,NA,NA,,NA,-0.190283,-0.142514
1.508,9.767760,-68.098464,NA,NA,,NA,-0.218184,-0.152820
1.512,9.812832,-67.698192,NA,NA,,NA,-0.248830,-0.212053
1.516,9.763392,-67.645728,NA,NA,,NA,-0.260471,-0.294385
1.52,9.675696,-68.074368,NA,NA,,NA,-0.222639,-0.331162
1.524,9.585216,-68.264976,NA,NA,,NA,-0.107470,-0.261155
1.528,9.576528,-67.953696,NA,NA,,NA,0.096108,-0.052513
1.532,9.694464,-67.673184,NA,NA,,NA,0.372568,0.297051
1.536,9.851616,-67.813344,NA,NA,,NA,0.700354,0.724547
1.54,10.168704,-67.692912,NA,NA,,NA,0.980191,1.115252
1.544,10.670400,-66.920640,NA,NA,,NA,1.176574,1.351928
1.548,11.062896,-66.262032,NA,NA,,NA,1.250179,1.410463
1.552,11.212512,-66.365520,NA,NA,,NA,1.189284,1.318396
1.556,11.307648,-66.558384,NA,NA,,NA,1.012321,1.078829
1.56,11.299296,-66.386784,NA,NA,,NA,0.762083,0.704115
1.564,11.061456,-66.294576,NA,NA,,NA,0.492760,0.295593
1.568,10.655184,-66.865968,NA,NA,,NA,0.253502,-0.000820
1.572,10.194960,-67.656624,NA,NA,,NA,0.074492,-0.127286
1.576,9.945840,-67.756368,NA,NA,,NA,-0.038188,-0.147573
1.58,9.849456,-67.473408,NA,NA,,NA,-0.097190,-0.152240
1.584,9.772752,-67.647648,NA,NA,,NA,-0.122702,-0.177717
1.588,9.725424,-68.058192,NA,NA,,NA,-0.132407,-0.211192
1.592,9.758544,-67.968000,NA,NA,,NA,-0.136928,-0.230551
1.596,9.760272,-67.587552,NA,NA,,NA,-0.140670,-0.232748
1.6,9.700512,-67.679376,NA,NA,,NA,-0.144845,-0.236131
1.604,9.626592,-68.125488,NA,NA,,NA,-0.149760,-0.251898
1.608,9.662400,-68.100576,NA,NA,,NA,-0.155582,-0.263409
1.612,9.702912,-67.691280,NA,NA,,NA,-0.162253,-0.255330
1.616,9.648576,-67.680480,NA,NA,,NA,-0.169281,-0.245985
1.62,9.585504,-68.092896,NA,NA,,NA,-0.175617,-0.258535
1.624,9.605376,-68.167152,NA,NA,,NA,-0.179742,-0.279010
1.628,9.637824,-67.814976,NA,NA,,NA,-0.180227,-0.279307
1.632,9.613968,-67.681584,NA,NA,,NA,-0.181894,-0.215241
1.636,9.570576,-68.029248,NA,NA,,NA,-0.174438,-0.205932
1.64,9.578544,-68.199024,NA,NA,,NA,-0.165501,-0.205087
1.644,9.640176,-67.873776,NA,NA,,NA,-0.157170,-0.199325
1.648,9.630096,-67.659456,NA,NA,,NA,-0.150791,-0.189441
1.652,9.578016,-67.962288,NA,NA,,NA,-0.146434,-0.185559
1.656,9.578352,-68.217216,NA,NA,,NA,-0.143090,-0.183432
1.66,9.618864,-67.960800,NA,NA,,NA,-0.139273,-0.171511
1.664,9.635040,-67.640640,NA,NA,,NA,-0.133796,-0.154319
1.668,9.579024,-67.874352,NA,NA,,NA,-0.126396,-0.146099
1.672,9.548112,-68.226768,NA,NA,,NA,-0.117746,-0.146149
1.676,9.621504,-68.016816,NA,NA,,NA,-0.108759,-0.141479
1.68,9.628944,-67.661184,NA,NA,,NA,-0.099720,-0.130233
1.684,9.593664,-67.817136,NA,NA,,NA,-0.089912,-0.120985
1.688,9.578352,-68.203584,NA,NA,,NA,-0.077973,-0.111575
1.692,9.618432,-68.079360,NA,NA,,NA,-0.062707,-0.091398
1.696,9.652896,-67.701168,NA,NA,,NA,-0.043735,-0.062659
1.7,9.617616,-67.755600,NA,NA,,NA,-0.021523,-0.037012
